FIRST(arg),1: init,2: init,3: init,4: 4(a),5: 4(b),6: 4(a),7: 4(b),8: 4(a),9: 4(b),10: 4(a),11: 4(b),12: 4(a),13: 4(b)
%empty,{%empty} !,{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty},{%empty}
')',--,{')'} !,{')'},{')'},{')'},{')'},{')'},{')'},{')'},{')'},{')'},{')'},{')'}
E,--,--,{} !,{},{},{},{},{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}","{'(', id}"
E_tail,--,--,{} !,{},"{%empty, '+'} !","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}","{%empty, '+'}"
F,--,--,{} !,{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}"
T,--,--,{} !,{},{},{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}"
T_tail,--,--,{} !,{},"{%empty, '*'} !","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}","{%empty, '*'}"
id,--,{id} !,{id},{id},{id},{id},{id},{id},{id},{id},{id},{id},{id}
E ')',--,--,{} !,{},{},{},{},{},{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}"
F T_tail,--,--,{} !,{},{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}"
T E_tail,--,--,{} !,{},{},{},{},"{'(', id} !","{'(', id}","{'(', id}","{'(', id}","{'(', id}","{'(', id}"
'(' E ')',--,{'('} !,{'('},{'('},{'('},{'('},{'('},{'('},{'('},{'('},{'('},{'('},{'('}
'*' F T_tail,--,{'*'} !,{'*'},{'*'},{'*'},{'*'},{'*'},{'*'},{'*'},{'*'},{'*'},{'*'},{'*'}
'+' T E_tail,--,{'+'} !,{'+'},{'+'},{'+'},{'+'},{'+'},{'+'},{'+'},{'+'},{'+'},{'+'},{'+'}
